"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"XG (50)";"Largura do Tórax";"(70 a 78 cm) XG/P";149.00;89.00;0.10;8.00;16.00;35.00;4;5312ANPXGCP;7,90E+12;;;;;;;;;5312ANPXGCP;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"XG (50)";"Largura do Tórax";"(79 a 86 cm) XG/M";149.00;89.00;0.10;8.00;16.00;35.00;5;5312ANPXGCM;7,90E+12;;;;;;;;;5312ANPXGCM;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"XG (50)";"Largura do Tórax";"(90 a 96 cm) XG/GG";149.00;89.00;0.10;8.00;16.00;35.00;7;5312ANPXGCGG;7,90E+12;;;;;;;;;5312ANPXGCGG;Feminino;Adulto;30.00
sutia-tomara-que-caia-rendado-animal-print-5312;;;Cor;"Animal Print";Tamanho;"XG (50)";"Largura do Tórax";"(101 a 107 cm) XG/EG";149.00;89.00;0.10;8.00;16.00;35.00;2;5312ANPXGCEG;7,90E+12;;;;;;;;;5312ANPXGCEG;Feminino;Adulto;30.00
sutia-tomara-que-caia-super-sustentacao-romance-5311;"Sutiã Tomara Que Caia Super Sustentação Romance 5311";"Sutiãs > Tomara Que Caia, OUTLET > Sutiãs, #DuhLovers > Andrea Maluxenas, #DuhLovers > Ariane Mendes, #DuhLovers > Carol Magon, #DuhLovers > Cati Sampaio, #DuhLovers > Consultora Dai, #DuhLovers > Duda Mantovani, #DuhLovers > Ely Sabinno, #DuhLovers > Gabi Camargo, #DuhLovers > Gabi Frienzzo, #DuhLovers > Gabi Lima, #DuhLovers > Giulia Schwanke, #DuhLovers > Jessica Albuquerque, #DuhLovers > Jéssica Gomes, #DuhLovers > Julia Cascon, #DuhLovers > Kelly Silva, #DuhLovers > Lara Cunha, #DuhLovers > Larissa Caetano, #DuhLovers > Leticia Brozio, #DuhLovers > Maria Faceira, #DuhLovers > Maíra Soares, #DuhLovers > Nayane Alcantara, #DuhLovers > Pamela Otero, #DuhLovers > Rafaela Garcia, #DuhLovers > Roberta Frias, #DuhLovers > Simone Gianello, #DuhLovers > Sophia Marins, #DuhLovers > Todas na Modinha, 48 Horas\, 48 modelos por 48 reais, TQC por R$89 ";Cor;Romance;Tamanho;"PP (40)";"Largura do Tórax";"(66 a 70 cm) PP";149.00;89.00;0.10;8.00;16.00;35.00;10;5311RMCPP;;SIM;NÃO;;"Sutia Tomara Que Caia Super Sustentacao Romance 5311";"Sutiã Tomara Que Caia Super Sustentação Romance 5311";"Venha conhecer Sutiã Tomara Que Caia Alta Sustentação Romance da Duhellen, feito sob a medida ideal do seu corpo. Clique e confira!";"Duhellen Lingerie";SIM;5311RMCPP;Feminino;Adulto;22.40
sutia-tomara-que-caia-super-sustentacao-romance-5311;;;Cor;Romance;Tamanho;"PP (40)";"Largura do Tórax";"(70 a 74 cm) PP/P";149.00;89.00;0.10;8.00;16.00;35.00;1;5311RMCPPCP;;;;;;;;;;5311RMCPPCP;Feminino;Adulto;22.40
sutia-tomara-que-caia-super-sustentacao-romance-5311;;;Cor;Romance;Tamanho;"PP (40)";"Largura do Tórax";"(74 a 78 cm) PP/M";149.00;89.00;0.10;8.00;16.00;35.00;6;5311RMCPPCM;;;;;;;;;;5311RMCPPCM;Feminino;Adulto;22.40
sutia-tomara-que-caia-super-sustentacao-romance-5311;;;Cor;Romance;Tamanho;"GG (48)";"Largura do Tórax";"(70 a 74 cm) GG/PP";149.00;89.00;0.10;8.00;16.00;35.00;3;5311RMCGGCPP;;;;;;;;;;5311RMCGGCPP;Feminino;Adulto;22.40
sutia-tomara-que-caia-super-sustentacao-romance-5311;;;Cor;Romance;Tamanho;"XG (50)";"Largura do Tórax";"(70 a 78 cm) XG/P";149.00;89.00;0.10;8.00;16.00;35.00;5;5311RMCXGCP;;;;;;;;;;5311RMCXGCP;Feminino;Adulto;22.40
prod-sutia-rendado-com-bojo-duhellen-preto-5305;"Sutiã Rendado Com Bojo Duhellen Preto 5305";"Sutiãs > Rendados, 48 Horas\, 48 modelos por 48 reais, 3 Sutiãs por R$129 ";Cor;Preto;Tamanho;"P (42)";;;119.00;79.00;0.10;8.00;16.00;35.00;9;5305PTOP;7,90E+12;SIM;NÃO;;"Sutia Rendado Com Bojo Duhellen Preto 5305";"Sutiã Rendado Com Bojo Duhellen Preto 5305";;"Duhellen Lingerie";SIM;5305PTOP;Feminino;Adulto;30.00
prod-calcinha-tanga-branco-duhellen-0937;"Calcinha Tanga Duhellen Branco 0937";"Calcinhas > Básicas, Calcinhas > Tanga, Coleções > Basic, #DuhLovers > Amanda Tayar, #DuhLovers > Andrea Maluxenas, #DuhLovers > Gabi Lima, #DuhLovers > Katia Carvalho";Cor;Branco;Tamanho;M;;;39.00;27.00;0.03;5.00;15.00;15.00;24;0937BCOM;7,90E+12;SIM;NÃO;;"Calcinha Tanga Duhellen Branco 0937";"Calcinha Tanga Duhellen Branco 0937";" Experimente o conforto da Calcinha Tanga em microfibra: maciez excepcional, elástico aberto para ajuste perfeito e forro em algodão antibacteriano. Descubra o equilíbrio perfeito entre estilo e bem-estar!";"Duhellen Lingerie";SIM;0937BCOM;Feminino;Adulto;10.00
prod-calcinha-tanga-branco-duhellen-0937;;;Cor;Branco;Tamanho;G;;;39.00;27.00;0.03;5.00;15.00;15.00;5;0937BCOG;7,90E+12;;;;;;;;;0937BCOG;Feminino;Adulto;10.00
prod-calcinha-tanga-branco-duhellen-0937;;;Cor;Branco;Tamanho;GG;;;39.00;27.00;0.03;5.00;15.00;15.00;6;0937BCOGG;7,90E+12;;;;;;;;;0937BCOGG;Feminino;Adulto;10.00
prod-sutia-em-renda-com-aro-sem-bojo-duhellen-branco-5244;"Sutiã Em Renda Com Aro Sem Bojo Duhellen Branco 5244";"Sutiãs > Rendados, Sutiãs > Sem Bojo, Sutiãs > Sutiãs por 49 reais cada!, OUTLET > Sutiãs, 48 Horas\, 48 modelos por 48 reais, 3 Sutiãs por R$129 ";Cor;Branco;Tamanho;"P (42)";;;109.00;49.00;0.10;5.00;15.00;15.00;3;5244BCOP;;SIM;NÃO;;"Sutia Em Renda Com Aro Sem Bojo Duhellen Branco 5244";"Sutiã Em Renda Com Aro Sem Bojo Duhellen Branco 5244";;"Duhellen Lingerie";SIM;5244BCOP;Feminino;Adulto;30.00
prod-sutia-em-renda-com-aro-sem-bojo-duhellen-preto-5244;"Sutiã Em Renda Com Aro Sem Bojo Duhellen Preto 5244";"Sutiãs > Rendados, Sutiãs > Sem Bojo, Sutiãs > Sutiãs por 49 reais cada!, OUTLET > Sutiãs, 48 Horas\, 48 modelos por 48 reais, 3 Sutiãs por R$129 , DUHSALE";Cor;Preto;Tamanho;"P (42)";;;109.00;49.00;0.10;5.00;15.00;15.00;1;5244PTOP;;SIM;NÃO;;"Sutia Em Renda Com Aro Sem Bojo Duhellen Preto 5244";"Sutiã Em Renda Com Aro Sem Bojo Duhellen Preto 5244";;"Duhellen Lingerie";SIM;5244PTOP;Feminino;Adulto;30.00
calcinha-tanga-duhellen-bordo-0937;"Calcinha Tanga Duhellen Bordô 0937";"Calcinhas > Tanga, Coleções > Rouge, #DuhLovers, DUHSALE";Cor;Bordô;Tamanho;G;;;39.00;27.00;0.03;5.00;15.00;15.00;7;0937BORG;7,90E+12;SIM;NÃO;;"Calcinha Tanga Duhellen Bordo 0937";"Calcinha Tanga Duhellen Bordô 0937";"Experimente o conforto da Calcinha Tanga em microfibra: maciez excepcional, elástico aberto para ajuste perfeito e forro em algodão antibacteriano. Descubra o equilíbrio perfeito entre estilo e bem-estar!";"Duhellen Lingerie";SIM;0937BORG;Feminino;Adulto;10.00
calcinha-tanga-duhellen-bordo-0937;;;Cor;Bordô;Tamanho;P;;;39.00;27.00;0.03;5.00;15.00;15.00;2;0937BORG;7,90E+12;;;;;;;;;0937BORG;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-preto-0937;"Calcinha Tanga Duhellen Preto 0937";"Calcinhas > Básicas, Calcinhas > Tanga, Coleções > Basic, #DuhLovers > Dra. Marianna Mármora, #DuhLovers > Kamila Smaili, #DuhLovers > Lais Crisostomo, #DuhLovers > Pamela Otero";Cor;Preto;Tamanho;P;;;39.00;27.00;0.03;5.00;15.00;15.00;0;0937PTOP;7,90E+12;SIM;NÃO;;"Calcinha Tanga Duhellen Preto 0937";"Calcinha Tanga Duhellen Preto 0937";"Experimente o conforto da Calcinha Tanga em microfibra: maciez excepcional, elástico aberto para ajuste perfeito e forro em algodão antibacteriano. Descubra o equilíbrio perfeito entre estilo e bem-estar!";"Duhellen Lingerie";SIM;0937PTOP;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-preto-0937;;;Cor;Preto;Tamanho;G;;;39.00;27.00;0.03;5.00;15.00;15.00;1;0937PTOG;7,90E+12;;;;;;;;;0937PTOG;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-preto-0937;;;Cor;Preto;Tamanho;GG;;;39.00;27.00;0.03;5.00;15.00;15.00;7;0937PTOGG;7,90E+12;;;;;;;;;0937PTOGG;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-bege-0937;"Calcinha Tanga Duhellen Bege 0937";"Calcinhas > Básicas, Calcinhas > Tanga, Coleções > Basic, #DuhLovers > Amanda Nunes, #DuhLovers > Vittoria Dutra";Cor;Bege;Tamanho;P;;;39.00;27.00;0.03;5.00;15.00;15.00;19;0937BEGP;7,90E+12;SIM;NÃO;;"Calcinha Tanga Duhellen Bege 0937";"Calcinha Tanga Duhellen Bege 0937";" Experimente o conforto da Calcinha Tanga em microfibra: maciez excepcional, elástico aberto para ajuste perfeito e forro em algodão antibacteriano. Descubra o equilíbrio perfeito entre estilo e bem-estar!";"Duhellen Lingerie";SIM;0937BEGP;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-bege-0937;;;Cor;Bege;Tamanho;M;;;39.00;27.00;0.03;5.00;15.00;15.00;23;0937BEGM;7,90E+12;;;;;;;;;0937BEGM;Feminino;Adulto;10.00
